Country Name,Year,Population_Total,Population_Density,Population_65_Plus_Pct,Air_Transport_Passengers,Urban_Population_Pct,Adj_PopDensity,AirTransportPerCapita,PCA_Development,Cluster_DBSCAN
Afghanistan,2019,37856121.0,58.0410606687825,2.37615338349114,1066747.35619248,25.754,1494.7894764638245,0.02817899267049786,-1.8554574878593761,0
Albania,2019,2854191.0,104.167554744526,14.2480986631067,307741.0,61.229,6378.075209452582,0.10782074500269954,0.7759999675813315,2
Algeria,2019,43294546.0,18.1776961381175,5.77497798452489,6752002.0,73.189,1330.4074026526816,0.1559550249123758,0.9846168845390648,1
Andorra,2019,76474.0,162.710638297872,13.8257043289506,5538226.1,87.984,14315.93279999997,72.4197256583937,1.5952474034954927,-1
Angola,2019,32375632.0,25.969063928772,2.70797798313284,1436959.0,66.177,1718.554743614345,0.04438396754695013,-1.9754785884193977,0
Antigua and Barbuda,2019,91364.0,207.645454545455,9.47314846738577,526333.995080553,24.506,5088.55950909092,5.760846669153638,1.3429963169293104,1
Argentina,2019,44973465.0,16.4335255363231,11.6325391913594,19461377.0,91.991,1511.7364476118983,0.4327302110255458,1.5003271806069396,1
Armenia,2019,2962500.0,104.056902002107,12.0453317121053,193668.0,63.219,6578.373287671202,0.06537316455696203,1.0483670799054063,1
Australia,2019,25334826.0,3.29365056253104,15.9450637793133,76850596.719,86.124,283.66236104742325,3.033397455305199,2.1353655050327434,2
Austria,2019,8879920.0,107.609306834707,18.9402993578561,46476602.0,58.515,6296.75858943288,5.233898728817377,1.9734846433411477,2
Azerbaijan,2019,10024283.0,121.280071139933,6.62764113456588,2585280.0,56.031,6795.443666041586,0.25790173721152926,0.7648743229509456,1
Bahamas,2019,394675.0,39.4280719280719,10.8243628610412,1856546.0,83.132,3277.7344755244735,4.703986824602521,1.2982388272621332,1
Bahrain,2019,1483756.0,1902.25128205128,3.00446835284136,6440562.0,89.394,170049.85110769214,4.340715050183453,1.5972373472681936,-1
Bangladesh,2019,164913055.0,1266.90523930245,5.66255837053046,6260241.0,37.405,47388.59047610814,0.03796085761676054,-0.12788744900410404,1
Barbados,2019,281207.0,653.96976744186,14.2956713458923,2033146.0,31.158,20376.390013953474,7.230068952764333,1.323669716227427,-1
Belarus,2019,9419758.0,46.4107506220284,15.3719450417652,3208254.0,79.044,3668.491372167613,0.34058773059774994,1.4813660352185267,2
Belgium,2019,11488980.0,376.761985964452,19.029838081816,14279187.0,98.041,36938.12186594083,1.2428594183295645,2.129167884587221,2
Belize,2019,385829.0,16.9149057430951,4.37513040120157,1278187.556,45.866,775.8190668127999,3.312834328160921,0.7423849148562016,1
Benin,2019,12726755.0,112.865865555161,3.03327124628391,899.0,47.861,5401.87319133556,7.06385877625522e-05,-2.138192580930057,0
Bermuda,2019,64107.0,1187.16666666667,18.2327982903583,2033146.0,100.0,118716.66666666699,31.714882930101236,1.1703651229552592,-1
Bhutan,2019,764824.0,20.0530676455165,5.92796512661737,276092.0,41.612,834.4482508652326,0.3609876259113208,0.30202095007742497,1
Bolivia,2019,11671386.0,10.7739185821102,5.69637597867023,4066959.0,69.773,751.728621229575,0.34845553047427275,0.34604015884321304,1
Bosnia and Herzegovina,2019,3345533.0,65.34244140625,19.6456887437667,5375.0,48.626,3177.3415558203124,0.0016066199317119275,0.9265237998371143,-1
Botswana,2019,2332083.0,4.11498067863004,3.84555352446718,254439.0,70.172,288.7564241808272,0.10910374973789526,0.1788440421203206,1
Brazil,2019,207455459.0,24.8207686159839,9.27307434876159,102917546.0,86.824,2155.0384143141864,0.4960946629030379,1.287495142796406,1
British Virgin Islands,2019,36395.0,242.633333333333,8.05066699638682,2033146.0,48.116,11674.545466666652,55.863332875394974,1.168780481975346,-1
Brunei,2019,437810.0,83.0759013282732,4.97590847160694,1234455.0,77.942,6475.101901328269,2.81961353098376,1.4080014810070487,1
Bulgaria,2019,6616726.0,60.9499447310243,21.4794589439076,832828.0,75.347,4592.395485648488,0.12586708290474777,1.3462828101559605,2
Burkina Faso,2019,20961952.0,76.6153216374269,2.55918669789944,185841.0,29.98,2296.9273426900586,0.008865634269174931,-2.129602550686983,0
Burundi,2019,12255336.0,477.232710280374,2.40126821487113,441598.5,13.366,6378.692405607479,0.03603316139190309,-1.9065728135361433,0
Cambodia,2019,16481304.0,93.3679129843644,5.27307790694231,1429503.73046387,23.805,2222.623168592794,0.08673486821575951,-0.7067442317680367,0
Cameroon,2019,25506095.0,53.9571724736096,2.78429920377855,83882.0,56.968,3073.832201476592,0.0032887041313066543,-1.3403447627854599,0
Canada,2019,37618495.0,4.19587500655283,17.5318595224519,93352000.0,81.482,341.8882872839377,2.4815453143460418,2.1909940660988734,2
Cape Verde,2019,514104.0,127.569230769231,5.81429049375224,675482.0,43.777,5584.598215384625,1.3139014674073728,-1.3831004068457768,0
Cayman Islands,2019,67327.0,280.529166666667,7.16354508592392,2033146.0,100.0,28052.916666666697,30.19807803704309,0.9948777088095754,-1
Chad,2019,16685223.0,13.2506535895807,2.04845628973613,28332.0,23.279,308.4619649118491,0.0016980294479732156,-3.2413754282814478,-1
Chile,2019,19197744.0,25.84400416762,12.3260602912509,21197759.0,87.643,2265.04605726272,1.1041796890301276,1.6851820594424196,1
China,2019,1407745000.0,149.948179684945,12.0613659717192,659629070.0,60.308,9043.074820439662,0.4685714174086926,1.1886777945954308,1
Colombia,2019,49907985.0,44.9824109959441,8.19032265077422,37031843.0,81.104,3648.2534614150504,0.7420023669559089,1.1702006835781402,1
