Country Name,Year,Population_Total,Population_Density,Population_65_Plus_Pct,Air_Transport_Passengers,Urban_Population_Pct,Healthcare_Access_Index,HDI,No_Improved_Water_Pct
Armenia,2010,3044800.0,106.947664207938,10.7247572394866,704753.0,63.44,60.0,0.747,1.1569977
Armenia,2015,3004600.0,105.535651563049,10.923814112631,0.0,63.085,67.0,0.777,0.47544098
Armenia,2017,2979400.0,104.650509308044,11.4171755495395,0.0,63.103,69.0,0.785,0.46559143
Armenia,2019,2962500.0,104.056902002107,12.0453317121053,193668.0,63.219,70.0,0.796,0.07183075
Armenia,2021,2962300.0,105.056940272915,12.600194715032,179200.0,63.431,68.0,0.786,0.04510498
Australia,2000,19028802.0,2.47696679379873,12.3380926593329,32577569.0,84.235,81.0,0.897,0.28770447
Australia,2005,20176844.0,2.62640667508428,12.8849948927024,44657324.0,84.582,83.0,0.914,0.22184753
Australia,2010,22031750.0,2.86785858401781,13.529289383836,60640913.0,85.182,84.0,0.929,0.11685181
Australia,2015,23815995.0,3.10011259648803,14.8994580007134,69779346.0,85.701,87.0,0.938,0.02999878
Australia,2017,24592588.0,3.19715601363491,15.3876130191621,74257326.0,85.904,87.0,0.94,0.030059814
Australia,2019,25334826.0,3.29365056253104,15.9450637793133,76850596.719,86.124,87.0,0.947,0.030143738
Australia,2021,25685412.0,3.33922844714392,16.7491873637801,24572955.0,86.362,87.0,0.954,0.030227661
Austria,2000,8011566.0,97.0863548230732,15.4406416730563,6641875.0,60.213,70.0,0.879,0.0
Austria,2005,8227829.0,99.7070891904993,16.2126667286006,8037890.0,58.813,77.0,0.898,0.0
Austria,2010,8363404.0,101.350024236549,17.6592449706019,13493793.0,57.399,81.0,0.912,0.0
Austria,2015,8642699.0,104.734597673291,18.4613708048616,14718641.0,57.715,84.0,0.919,0.0
Austria,2017,8797566.0,106.61131846825,18.6103296736393,16171640.0,58.094,84.0,0.922,0.0
Austria,2019,8879920.0,107.609306834707,18.9402993578561,46476602.0,58.515,84.0,0.928,0.0
Austria,2021,8955797.0,108.528805138148,19.462852720957,18901048.0,58.995,85.0,0.93,0.0
Azerbaijan,2000,8048600.0,97.434779976999,5.53451830632131,545800.0,51.386,42.0,0.652,18.866333
Azerbaijan,2005,8391850.0,101.522501814662,6.5616695016824,1134300.0,52.389,38.0,0.692,14.604164
Azerbaijan,2010,9054332.0,109.542344173442,5.88788457841308,796698.0,53.406,51.0,0.744,10.467102
Azerbaijan,2015,9649341.0,116.731076781631,5.79496249814157,1803112.0,54.714,62.0,0.771,6.4234543
Azerbaijan,2017,9854033.0,119.208741622511,6.14013559399226,2331308.0,55.343,64.0,0.774,4.842201
Azerbaijan,2019,10024283.0,121.280071139933,6.62764113456588,2585280.0,56.031,67.0,0.78,3.2886734
Azerbaijan,2021,10137750.0,122.658802177858,7.14668283701474,1102455.0,56.776,66.0,0.765,1.9347382
Bahamas,2000,323835.0,32.3511488511488,6.69368659965723,1860623.0,82.007,54.0,0.787,1.7545013
Bahamas,2005,343894.0,34.355044955045,7.88484242237434,1020000.0,82.218,71.0,0.798,1.5406799
Bahamas,2010,367478.0,36.7110889110889,9.15675109360437,967914.0,82.427,73.0,0.801,1.3268585
Bahamas,2015,385346.0,38.4961038961039,10.2099019972933,900028.0,82.746,77.0,0.807,1.1130371
Bahamas,2017,390485.0,39.0094905094905,10.5142323008566,921470.0,82.925,79.0,0.81,1.1130371
Bahamas,2019,394675.0,39.4280719280719,10.8243628610412,1856546.0,83.132,79.0,0.8,1.1130371
Bahamas,2021,396373.0,39.5977022977023,11.0919512681237,1065149.134,83.365,77.0,0.794,1.1130371
Bahrain,2000,637582.0,898.002816901408,2.24991617886124,1382461.0,88.372,60.0,0.775,0.04133606
Bahrain,2005,888822.0,1201.11081081081,2.14426487555275,2284547.0,88.422,64.0,0.791,0.05102539
Bahrain,2010,1228543.0,1612.26115485564,2.15047426568769,6028980.0,88.634,68.0,0.81,0.06071472
Bahrain,2015,1370322.0,1761.33933161954,2.58876355273245,5313756.0,88.999,73.0,0.868,0.07041168
Bahrain,2017,1501116.0,1924.50769230769,2.61201960870313,5190484.0,89.186,74.0,0.874,0.074287415
Bahrain,2019,1483756.0,1902.25128205128,3.00446835284136,6440562.0,89.394,76.0,0.894,0.07816315
Bahrain,2021,1504365.0,1904.25949367089,3.46416063514661,1840268.0,89.622,76.0,0.885,0.08010101
Bangladesh,2000,134544304.0,1033.6045478989,3.46140181652951,1331369.0,23.59,23.0,0.477,4.050804
Bangladesh,2005,144715786.0,1111.74453407083,3.72492189621939,1634473.0,26.809,27.0,0.52,3.1953125
Bangladesh,2010,152201981.0,1169.25544288238,4.20925466072201,1818901.01882718,30.462,37.0,0.561,2.3771973
Bangladesh,2015,159383179.0,1224.42328493508,4.90260142194805,3997815.0,34.308,45.0,0.621,1.6086426
