Unnamed: 0,Country Name,Country Code,Year,Population_Total,Population_Density,Population_65_Plus_Pct,Air_Transport_Passengers,Urban_Population_Pct,Healthcare_Access_Index,HDI,No_Improved_Water_Pct
40,Afghanistan,AFG,2000,20130327.0,30.8638471091486,2.26197021041933,149705.0,22.078,23.0,0.351,69.25894
45,Afghanistan,AFG,2005,24404567.0,37.4171181945019,2.26974934650551,,22.703,28.0,0.417,59.14232
50,Afghanistan,AFG,2010,28284089.0,43.3652070588596,2.30661490116607,1999127.0,23.737,29.0,0.465,46.45502
55,Afghanistan,AFG,2015,33831764.0,51.8709105683578,2.35669506261475,1929907.0,24.803,36.0,0.496,33.812515
57,Afghanistan,AFG,2017,35688935.0,54.7183278904681,2.35973702156897,1647425.0,25.25,41.0,0.496,28.765442
59,Afghanistan,AFG,2019,37856121.0,58.0410606687825,2.37615338349114,1066747.35619248,25.754,42.0,0.507,23.71273
61,Afghanistan,AFG,2021,40000412.0,61.3286907992579,2.35254951873996,293212.994,26.314,41.0,0.486,18.65641
283,Albania,ALB,2000,3089027.0,112.738211678832,7.33069132123503,136622.0,41.741,43.0,0.682,3.4634323
288,Albania,ALB,2005,3011487.0,109.908284671533,8.95907851317178,195702.0,46.731,52.0,0.723,3.1997452
293,Albania,ALB,2010,2913021.0,106.314635036496,10.9200550479108,768533.0,52.163,57.0,0.769,3.029663
298,Albania,ALB,2015,2880703.0,105.135145985401,12.5431065412926,,57.434,61.0,0.797,2.9792938
300,Albania,ALB,2017,2873457.0,104.870693430657,13.3053911120274,204090.0,59.383,61.0,0.798,2.9932556
302,Albania,ALB,2019,2854191.0,104.167554744526,14.2480986631067,307741.0,61.229,64.0,0.805,3.0250854
304,Albania,ALB,2021,2811666.0,102.615547445255,15.2660050732804,193259.0,62.969,64.0,0.794,3.0396347
348,Algeria,DZA,2000,30903893.0,12.9753428165963,4.3831209935771,2997480.0,59.919,56.0,0.651,4.6126328
353,Algeria,DZA,2005,33109249.0,13.9012860345798,4.75825199176218,3037298.0,63.83,61.0,0.692,3.4405441
358,Algeria,DZA,2010,36188236.0,15.1940329339055,4.89358620427901,3372283.0,67.54,67.0,0.718,2.381836
363,Algeria,DZA,2015,40019529.0,16.8026368106356,5.19673532389649,5400896.0,70.848,74.0,0.737,1.432663
365,Algeria,DZA,2017,41689299.0,17.5037080018356,5.46724232518278,6230157.0,72.052,74.0,0.746,1.0800934
367,Algeria,DZA,2019,43294546.0,18.1776961381175,5.77497798452489,6752002.0,73.189,74.0,0.753,0.741333
369,Algeria,DZA,2021,44761099.0,18.7934447084904,6.0140413442485,1949936.0,74.261,74.0,0.755,0.4152832
501,Andorra,AND,2000,65685.0,139.755319148936,12.3216868386999,,92.395,67.0,0.825,0.0
506,Andorra,AND,2005,77421.0,164.725531914894,11.9160945744344,,90.285,71.0,0.842,0.0
511,Andorra,AND,2010,80706.0,171.714893617021,12.7437860877754,,88.819,74.0,0.87,0.0
516,Andorra,AND,2015,72174.0,153.56170212766,12.9257968645001,,88.345,75.0,0.869,0.0
518,Andorra,AND,2017,73763.0,156.942553191489,13.1984409422132,,88.15,76.0,0.873,0.0
520,Andorra,AND,2019,76474.0,162.710638297872,13.8257043289506,,87.984,78.0,0.876,0.0
522,Andorra,AND,2021,78364.0,166.731914893617,14.5979952401309,,87.858,79.0,0.871,0.0
566,Angola,AGO,2000,16194869.0,12.9901892997513,2.67386240277283,235448.0,50.087,21.0,0.391,37.767986
571,Angola,AGO,2005,19291161.0,15.4737795780861,2.74989158894821,239795.0,56.0,24.0,0.463,35.49971
576,Angola,AGO,2010,23294825.0,18.6851888986925,2.72990245687615,1010194.0,59.783,31.0,0.528,34.815422
581,Angola,AGO,2015,28157798.0,22.5858650838213,2.69128111509288,1244491.0,63.446,36.0,0.603,34.314453
583,Angola,AGO,2017,30234839.0,24.2518962059838,2.68524168427026,1375523.0,64.839,40.0,0.61,34.181427
585,Angola,AGO,2019,32375632.0,25.969063928772,2.70797798313284,1436959.0,66.177,39.0,0.611,33.834915
587,Angola,AGO,2021,34532429.0,27.6990687414775,2.74470411565894,311488.0,67.46,37.0,0.609,33.260727
650,Antigua and Barbuda,ATG,2000,74912.0,170.254545454545,7.36063648013669,1426114.0,32.127,54.0,,
655,Antigua and Barbuda,ATG,2005,79611.0,180.934090909091,7.10773076415799,778260.0,29.218,67.0,,
660,Antigua and Barbuda,ATG,2010,85320.0,193.909090909091,7.15361489911569,1554309.0,26.238,73.0,0.828,1.6338272
665,Antigua and Barbuda,ATG,2015,89409.0,203.202272727273,8.11104027558747,1039810.0,25.0,78.0,0.839,1.6346359
667,Antigua and Barbuda,ATG,2017,90468.0,205.609090909091,8.79869124994473,590517.0,24.713,77.0,0.845,1.6348267
669,Antigua and Barbuda,ATG,2019,91364.0,207.645454545455,9.47314846738577,526333.995080553,24.506,75.0,0.851,1.634964
671,Antigua and Barbuda,ATG,2021,92349.0,209.884090909091,10.2789418401932,40633.0,24.38,76.0,0.843,1.6350403
814,Argentina,ARG,2000,37213984.0,13.5981729753827,9.65977735681297,8915627.0,89.142,68.0,0.789,3.715973
819,Argentina,ARG,2005,39216789.0,14.3300077831249,9.96522548078547,6938436.0,90.031,74.0,0.812,2.5788116
824,Argentina,ARG,2010,41288694.0,15.0870920710786,10.4021031811045,9025035.31187357,90.849,76.0,0.844,1.5659485
829,Argentina,ARG,2015,43477012.0,15.8867142423877,11.0315216694284,14245183.0,91.503,80.0,0.859,1.0176926
831,Argentina,ARG,2017,44288894.0,16.1833799224611,11.3071247613454,16749271.0,91.749,79.0,0.861,
833,Argentina,ARG,2019,44973465.0,16.4335255363231,11.6325391913594,19461377.0,91.991,78.0,0.861,
835,Argentina,ARG,2021,45312281.0,16.5573305708721,11.9186207827562,6708097.0,92.229,79.0,0.847,
879,Armenia,ARM,2000,3221100.0,113.140147523709,9.14660843411173,298232.0,64.666,44.0,0.667,2.5577316
884,Armenia,ARM,2005,3146400.0,110.516332982086,11.1165828607505,555795.0,63.938,51.0,0.711,1.8725815
889,Armenia,ARM,2010,3044800.0,106.947664207938,10.7247572394866,704753.0,63.44,60.0,0.747,1.1569977
894,Armenia,ARM,2015,3004600.0,105.535651563049,10.923814112631,,63.085,67.0,0.777,0.47544098
896,Armenia,ARM,2017,2979400.0,104.650509308044,11.4171755495395,,63.103,69.0,0.785,0.46559143
898,Armenia,ARM,2019,2962500.0,104.056902002107,12.0453317121053,193668.0,63.219,70.0,0.796,0.07183075
900,Armenia,ARM,2021,2962300.0,105.056940272915,12.600194715032,179200.0,63.431,68.0,0.786,0.04510498
1033,Australia,AUS,2000,19028802.0,2.47696679379873,12.3380926593329,32577569.0,84.235,81.0,0.897,0.28770447
1038,Australia,AUS,2005,20176844.0,2.62640667508428,12.8849948927024,44657324.0,84.582,83.0,0.914,0.22184753
1043,Australia,AUS,2010,22031750.0,2.86785858401781,13.529289383836,60640913.0,85.182,84.0,0.929,0.11685181
1048,Australia,AUS,2015,23815995.0,3.10011259648803,14.8994580007134,69779346.0,85.701,87.0,0.938,0.02999878
1050,Australia,AUS,2017,24592588.0,3.19715601363491,15.3876130191621,74257326.0,85.904,87.0,0.94,0.030059814
1052,Australia,AUS,2019,25334826.0,3.29365056253104,15.9450637793133,76850596.719,86.124,87.0,0.947,0.030143738
1054,Australia,AUS,2021,25685412.0,3.33922844714392,16.7491873637801,24572955.0,86.362,87.0,0.954,0.030227661
1121,Austria,AUT,2000,8011566.0,97.0863548230732,15.4406416730563,6641875.0,60.213,70.0,0.879,0.0
1126,Austria,AUT,2005,8227829.0,99.7070891904993,16.2126667286006,8037890.0,58.813,77.0,0.898,0.0
1131,Austria,AUT,2010,8363404.0,101.350024236549,17.6592449706019,13493793.0,57.399,81.0,0.912,0.0
1136,Austria,AUT,2015,8642699.0,104.734597673291,18.4613708048616,14718641.0,57.715,84.0,0.919,0.0
